path,sensor,brightness
10_station_suelldorf_10.1/ir_center/216_1631703820.700465840.png,ir_center,134.0322377460301
10_station_suelldorf_10.1/rgb_center/216_1631703820.700000000.png,rgb_center,103.30573111163453
10_station_suelldorf_10.1/rgb_highres_center/216_1631703820.700000022.png,rgb_highres_center,148.05405803370923
10_station_suelldorf_10.1/ir_center/217_1631703820.800465380.png,ir_center,134.03336769476084
10_station_suelldorf_10.1/rgb_center/217_1631703820.800000000.png,rgb_center,103.51927412399239
10_station_suelldorf_10.1/rgb_highres_center/217_1631703820.800000017.png,rgb_highres_center,147.9129383678245
10_station_suelldorf_10.1/ir_center/218_1631703820.900464920.png,ir_center,134.03948913822933
10_station_suelldorf_10.1/rgb_center/218_1631703820.900000000.png,rgb_center,103.73779753385612
10_station_suelldorf_10.1/rgb_highres_center/218_1631703820.900000012.png,rgb_highres_center,147.96197784748165
10_station_suelldorf_10.1/ir_center/219_1631703821.000464480.png,ir_center,134.04176311065333
10_station_suelldorf_10.1/rgb_center/219_1631703821.000000000.png,rgb_center,103.9794132005038
10_station_suelldorf_10.1/rgb_highres_center/219_1631703821.000000006.png,rgb_highres_center,148.10048625531024
10_station_suelldorf_10.1/ir_center/220_1631703821.100465180.png,ir_center,134.05041838043158
10_station_suelldorf_10.1/rgb_center/220_1631703821.100000056.png,rgb_center,104.39830452392204
10_station_suelldorf_10.1/rgb_highres_center/220_1631703821.100000030.png,rgb_highres_center,148.27438806713698
10_station_suelldorf_10.1/ir_center/221_1631703821.200464920.png,ir_center,134.040428180153
10_station_suelldorf_10.1/rgb_center/221_1631703821.200000056.png,rgb_center,104.99228235058936
10_station_suelldorf_10.1/rgb_highres_center/221_1631703821.200000017.png,rgb_highres_center,148.70195977160247
10_station_suelldorf_10.1/ir_center/222_1631703821.300464440.png,ir_center,133.82626528674766
10_station_suelldorf_10.1/rgb_center/222_1631703821.300000056.png,rgb_center,105.57306499435907
10_station_suelldorf_10.1/rgb_highres_center/222_1631703821.300000003.png,rgb_highres_center,148.74149880606706
10_station_suelldorf_10.1/ir_center/223_1631703821.400465640.png,ir_center,133.65662922019698
10_station_suelldorf_10.1/rgb_center/223_1631703821.400000056.png,rgb_center,105.94850268376337
10_station_suelldorf_10.1/rgb_highres_center/223_1631703821.400000022.png,rgb_highres_center,148.45745047180512
10_station_suelldorf_10.1/ir_center/224_1631703821.500465160.png,ir_center,133.66702084260538
10_station_suelldorf_10.1/rgb_center/224_1631703821.500000056.png,rgb_center,106.39651994984185
10_station_suelldorf_10.1/rgb_highres_center/224_1631703821.500000008.png,rgb_highres_center,148.88777716115936
10_station_suelldorf_10.1/ir_center/225_1631703821.600464680.png,ir_center,133.6836036399433
10_station_suelldorf_10.1/rgb_center/225_1631703821.600000056.png,rgb_center,106.79849289155854
10_station_suelldorf_10.1/rgb_highres_center/225_1631703821.600000027.png,rgb_highres_center,148.78128167233464
11_main_station_11.1/ir_center/276_1631531579.700464360.png,ir_center,133.91379760428754
11_main_station_11.1/rgb_center/276_1631531579.700000016.png,rgb_center,127.57417144952528
11_main_station_11.1/rgb_highres_center/276_1631531579.700000017.png,rgb_highres_center,141.31209730974817
11_main_station_11.1/ir_center/277_1631531579.800465580.png,ir_center,133.93877460166968
11_main_station_11.1/rgb_center/277_1631531579.800000016.png,rgb_center,127.66697344741438
