path,sensor,entropy
10_station_suelldorf_10.1/ir_center/216_1631703820.700465840.png,ir_center,5.98997334217138
10_station_suelldorf_10.1/rgb_center/216_1631703820.700000000.png,rgb_center,6.497899184984113
10_station_suelldorf_10.1/rgb_highres_center/216_1631703820.700000022.png,rgb_highres_center,6.84014896483182
10_station_suelldorf_10.1/ir_center/217_1631703820.800465380.png,ir_center,6.042532637920594
10_station_suelldorf_10.1/rgb_center/217_1631703820.800000000.png,rgb_center,6.492930196164663
10_station_suelldorf_10.1/rgb_highres_center/217_1631703820.800000017.png,rgb_highres_center,6.838810280599984
10_station_suelldorf_10.1/ir_center/218_1631703820.900464920.png,ir_center,5.994570029705842
10_station_suelldorf_10.1/rgb_center/218_1631703820.900000000.png,rgb_center,6.487454284753352
10_station_suelldorf_10.1/rgb_highres_center/218_1631703820.900000012.png,rgb_highres_center,6.831438853202471
10_station_suelldorf_10.1/ir_center/219_1631703821.000464480.png,ir_center,6.041470055942506
10_station_suelldorf_10.1/rgb_center/219_1631703821.000000000.png,rgb_center,6.489622334574673
10_station_suelldorf_10.1/rgb_highres_center/219_1631703821.000000006.png,rgb_highres_center,6.824008727287595
10_station_suelldorf_10.1/ir_center/220_1631703821.100465180.png,ir_center,5.990266561690979
10_station_suelldorf_10.1/rgb_center/220_1631703821.100000056.png,rgb_center,6.468931282628778
10_station_suelldorf_10.1/rgb_highres_center/220_1631703821.100000030.png,rgb_highres_center,6.819188942407924
10_station_suelldorf_10.1/ir_center/221_1631703821.200464920.png,ir_center,5.987826014149639
10_station_suelldorf_10.1/rgb_center/221_1631703821.200000056.png,rgb_center,6.4680699744983965
10_station_suelldorf_10.1/rgb_highres_center/221_1631703821.200000017.png,rgb_highres_center,6.813890187692044
10_station_suelldorf_10.1/ir_center/222_1631703821.300464440.png,ir_center,6.009358230913886
10_station_suelldorf_10.1/rgb_center/222_1631703821.300000056.png,rgb_center,6.454752863820785
10_station_suelldorf_10.1/rgb_highres_center/222_1631703821.300000003.png,rgb_highres_center,6.807219373689916
10_station_suelldorf_10.1/ir_center/223_1631703821.400465640.png,ir_center,6.07880870968839
10_station_suelldorf_10.1/rgb_center/223_1631703821.400000056.png,rgb_center,6.444021857074662
10_station_suelldorf_10.1/rgb_highres_center/223_1631703821.400000022.png,rgb_highres_center,6.7964545255380555
10_station_suelldorf_10.1/ir_center/224_1631703821.500465160.png,ir_center,6.088785751730803
10_station_suelldorf_10.1/rgb_center/224_1631703821.500000056.png,rgb_center,6.44448918580239
10_station_suelldorf_10.1/rgb_highres_center/224_1631703821.500000008.png,rgb_highres_center,6.7910511926737245
10_station_suelldorf_10.1/ir_center/225_1631703821.600464680.png,ir_center,6.053734440117158
10_station_suelldorf_10.1/rgb_center/225_1631703821.600000056.png,rgb_center,6.433302216707453
10_station_suelldorf_10.1/rgb_highres_center/225_1631703821.600000027.png,rgb_highres_center,6.7914885992815295
11_main_station_11.1/ir_center/276_1631531579.700464360.png,ir_center,5.617907079066748
11_main_station_11.1/rgb_center/276_1631531579.700000016.png,rgb_center,6.907023327760731
11_main_station_11.1/rgb_highres_center/276_1631531579.700000017.png,rgb_highres_center,6.882913675255274
11_main_station_11.1/ir_center/277_1631531579.800465580.png,ir_center,5.608061723406809
11_main_station_11.1/rgb_center/277_1631531579.800000016.png,rgb_center,6.891147234028277
11_main_station_11.1/rgb_highres_center/277_1631531579.800000026.png,rgb_highres_center,6.9060604922420445
11_main_station_11.1/ir_center/278_1631531579.900465120.png,ir_center,5.607529865024746
11_main_station_11.1/rgb_center/278_1631531579.900000016.png,rgb_center,6.87582391902112
11_main_station_11.1/rgb_highres_center/278_1631531579.900000003.png,rgb_highres_center,6.925191772795428
11_main_station_11.1/ir_center/279_1631531580.000464580.png,ir_center,5.616012364597648
11_main_station_11.1/rgb_center/279_1631531580.000000016.png,rgb_center,6.869958189310888
11_main_station_11.1/rgb_highres_center/279_1631531580.000000014.png,rgb_highres_center,6.918689465733663
11_main_station_11.1/ir_center/280_1631531580.100465800.png,ir_center,5.627650357287789
11_main_station_11.1/rgb_center/280_1631531580.100000016.png,rgb_center,6.865566660262734
11_main_station_11.1/rgb_highres_center/280_1631531580.100000029.png,rgb_highres_center,6.89600932940135
11_main_station_11.1/ir_center/281_1631531580.200465340.png,ir_center,5.632005289624053
11_main_station_11.1/rgb_center/281_1631531580.200000016.png,rgb_center,6.859027228753961
11_main_station_11.1/rgb_highres_center/281_1631531580.200000012.png,rgb_highres_center,6.891787231826126
11_main_station_11.1/ir_center/282_1631531580.300464880.png,ir_center,5.642498917459603
11_main_station_11.1/rgb_center/282_1631531580.300000016.png,rgb_center,6.853859692365014
11_main_station_11.1/rgb_highres_center/282_1631531580.300000026.png,rgb_highres_center,6.897413799519392
11_main_station_11.1/ir_center/283_1631531580.400464420.png,ir_center,5.6053001051623434
11_main_station_11.1/rgb_center/283_1631531580.400000016.png,rgb_center,6.8492220443169
11_main_station_11.1/rgb_highres_center/283_1631531580.400000009.png,rgb_highres_center,6.895859307995527
11_main_station_11.1/ir_center/284_1631531580.500465640.png,ir_center,5.633977884659324
11_main_station_11.1/rgb_center/284_1631531580.500000016.png,rgb_center,6.843217115784016
11_main_station_11.1/rgb_highres_center/284_1631531580.500000024.png,rgb_highres_center,6.8902461741425
11_main_station_11.1/ir_center/285_1631531580.600465180.png,ir_center,5.664476007813669
11_main_station_11.1/rgb_center/285_1631531580.600000016.png,rgb_center,6.834240880474591
11_main_station_11.1/rgb_highres_center/285_1631531580.600000006.png,rgb_highres_center,6.887377473167799
12_vegetation_steady_12.1/ir_center/000_1631177220.100464440.png,ir_center,6.117122464251441
12_vegetation_steady_12.1/ir_right/000_1631177220.100465080.png,ir_right,6.332510160828479
12_vegetation_steady_12.1/rgb_center/000_1631177220.100000040.png,rgb_center,5.922033344584063
12_vegetation_steady_12.1/rgb_right/000_1631177220.100000040.png,rgb_right,6.609004556516239
12_vegetation_steady_12.1/rgb_highres_center/000_1631177220.100000031.png,rgb_highres_center,6.694340882058422
12_vegetation_steady_12.1/rgb_highres_right/000_1631177220.100000000.png,rgb_highres_right,6.821935234142177
